name,official_name,state,country,population,pop_year,tier,type,geoid,lat,lon,coord_source
Tuscaloosa,Tuscaloosa city,AL,US,114288,2024,1,incorporated place,0177256,33.234404,-87.5283,census_gazetteer
Allen,Allen city,TX,US,113746,2024,1,incorporated place,4801924,33.109736,-96.673032,census_gazetteer
Carlsbad,Carlsbad city,CA,US,113575,2024,1,incorporated place,0611194,33.129284,-117.284183,census_gazetteer
Everett,Everett city,WA,US,113011,2024,1,incorporated place,5322640,47.965413,-122.189895,census_gazetteer
Springfield,Springfield city,IL,US,112949,2024,1,incorporated place,1772000,39.791063,-89.644572,census_gazetteer
Beaumont,Beaumont city,TX,US,112893,2024,1,incorporated place,4807000,30.084912,-94.14533,census_gazetteer
Murrieta,Murrieta city,CA,US,112539,2024,1,incorporated place,0650076,33.573214,-117.191007,census_gazetteer
Rio Rancho,Rio Rancho city,NM,US,112524,2024,1,incorporated place,3563460,35.28507,-106.698867,census_gazetteer
Temecula,Temecula city,CA,US,112431,2024,1,incorporated place,0678120,33.493073,-117.131734,census_gazetteer
Concord,Concord city,NC,US,112395,2024,1,incorporated place,3714100,35.392094,-80.63551,census_gazetteer
Tyler,Tyler city,TX,US,112219,2024,1,incorporated place,4874144,32.317258,-95.305886,census_gazetteer
Davie,Davie town,FL,US,112052,2024,1,incorporated place,1216475,26.079169,-80.283013,census_gazetteer
South Fulton,South Fulton city,GA,US,112003,2024,1,incorporated place,1372122,33.63572,-84.583417,census_gazetteer
Peoria,Peoria city,IL,US,111696,2024,1,incorporated place,1759000,40.751641,-89.617198,census_gazetteer
Sparks,Sparks city,NV,US,111520,2024,1,incorporated place,3268400,39.574341,-119.715154,census_gazetteer
Gresham,Gresham city,OR,US,111507,2024,1,incorporated place,4131250,45.502319,-122.441609,census_gazetteer
Santa Maria,Santa Maria city,CA,US,111346,2024,1,incorporated place,0669196,34.933076,-120.443559,census_gazetteer
Pueblo,Pueblo city,CO,US,111166,2024,1,incorporated place,0862000,38.269228,-104.610816,census_gazetteer
St. John's,St. John's,NL,CA,110525,2021,1,census subdivision,1001519,47.56494,-52.70931,census_gazetteer
Hillsboro,Hillsboro city,OR,US,110337,2024,1,incorporated place,4134100,45.526798,-122.935395,census_gazetteer
Sugar Land,Sugar Land city,TX,US,109851,2024,1,incorporated place,4870808,29.592764,-95.633801,census_gazetteer
San Buenaventura (Ventura),San Buenaventura (Ventura) city,CA,US,109831,2024,1,incorporated place,0665042,34.26778,-119.254206,census_gazetteer
Downey,Downey city,CA,US,109368,2024,1,incorporated place,0619766,33.938237,-118.130856,census_gazetteer
Costa Mesa,Costa Mesa city,CA,US,109131,2024,1,incorporated place,0616532,33.665905,-117.912336,census_gazetteer
Centennial,Centennial city,CO,US,108853,2024,1,incorporated place,0812815,39.590864,-104.863808,census_gazetteer
Thunder Bay,Thunder Bay,ON,CA,108843,2021,1,census subdivision,3558004,48.38202,-89.25018,census_gazetteer
Edinburg,Edinburg city,TX,US,108733,2024,1,incorporated place,4822660,26.318285,-98.153449,census_gazetteer
Delta,Delta,BC,CA,108455,2021,1,census subdivision,5915011,49.08917,-123.05322,census_gazetteer
Spokane Valley,Spokane Valley city,WA,US,108267,2024,1,incorporated place,5367167,47.663353,-117.23278,census_gazetteer
Jurupa Valley,Jurupa Valley city,CA,US,108154,2024,1,incorporated place,0637692,34.002591,-117.467612,census_gazetteer
Bend,Bend city,OR,US,106926,2024,1,incorporated place,4105800,44.056683,-121.307991,census_gazetteer
West Covina,West Covina city,CA,US,106920,2024,1,incorporated place,0684200,34.055941,-117.909937,census_gazetteer
Boulder,Boulder city,CO,US,106803,2024,1,incorporated place,0807850,40.024431,-105.251251,census_gazetteer
Palm Coast,Palm Coast city,FL,US,106729,2024,1,incorporated place,1254200,29.536837,-81.242627,census_gazetteer
Lee's Summit,Lee's Summit city,MO,US,106419,2024,1,incorporated place,2941348,38.921601,-94.384763,census_gazetteer
Dearborn,Dearborn city,MI,US,106377,2024,1,incorporated place,2621000,42.313057,-83.211488,census_gazetteer
Green Bay,Green Bay city,WI,US,106311,2024,1,incorporated place,5531000,44.521542,-87.986568,census_gazetteer
St. George,St. George city,UT,US,106288,2024,1,incorporated place,4965330,37.077006,-113.576534,census_gazetteer
Brockton,Brockton city,MA,US,105788,2024,1,incorporated place,2509000,42.082543,-71.024638,census_gazetteer
Renton,Renton city,WA,US,105543,2024,1,incorporated place,5357745,47.47919,-122.194613,census_gazetteer
Sandy Springs,Sandy Springs city,GA,US,105505,2024,1,incorporated place,1368516,33.931501,-84.368886,census_gazetteer
Rialto,Rialto city,CA,US,104918,2024,1,incorporated place,0660466,34.117419,-117.389215,census_gazetteer
Brantford,Brantford,ON,CA,104688,2021,1,census subdivision,3529006,43.1334,-80.26636,census_gazetteer
El Monte,El Monte city,CA,US,104639,2024,1,incorporated place,0622230,34.074633,-118.029136,census_gazetteer
Vacaville,Vacaville city,CA,US,103994,2024,1,incorporated place,0681554,38.358621,-121.968601,census_gazetteer
Chatham-Kent,Chatham-Kent,ON,CA,103988,2021,1,census subdivision,3536020,42.41224,-82.18494,geonames
Fishers,Fishers city,IN,US,103986,2024,1,incorporated place,1823278,39.96183,-85.968364,census_gazetteer
South Bend,South Bend city,IN,US,103713,2024,1,incorporated place,1871000,41.676643,-86.268809,census_gazetteer
Carmel,Carmel city,IN,US,103606,2024,1,incorporated place,1810342,39.965479,-86.148369,census_gazetteer
Yuma,Yuma city,AZ,US,103559,2024,1,incorporated place,0485540,32.516286,-114.521782,census_gazetteer
Burbank,Burbank city,CA,US,103533,2024,1,incorporated place,0608954,34.190079,-118.326405,census_gazetteer
Lynn,Lynn city,MA,US,103489,2024,1,incorporated place,2537490,42.474766,-70.962035,census_gazetteer
Quincy,Quincy city,MA,US,103434,2024,1,incorporated place,2555745,42.261006,-71.008988,census_gazetteer
El Cajon,El Cajon city,CA,US,103291,2024,1,incorporated place,0621712,32.801673,-116.960468,census_gazetteer
Fayetteville,Fayetteville city,AR,US,103134,2024,1,incorporated place,0523290,36.071455,-94.166564,census_gazetteer
Suffolk,Suffolk city,VA,US,103105,2024,1,incorporated place,5176432,36.697157,-76.634781,census_gazetteer
San Mateo,San Mateo city,CA,US,103006,2024,1,incorporated place,0668252,37.56031,-122.3106,census_gazetteer
Chico,Chico city,CA,US,102911,2024,1,incorporated place,0613014,39.758951,-121.81772,census_gazetteer
Inglewood,Inglewood city,CA,US,102774,2024,1,incorporated place,0636546,33.956068,-118.344274,census_gazetteer
Wichita Falls,Wichita Falls city,TX,US,102372,2024,1,incorporated place,4879000,33.906654,-98.525848,census_gazetteer
Boca Raton,Boca Raton city,FL,US,102238,2024,1,incorporated place,1207300,26.37269,-80.103711,census_gazetteer
Hesperia,Hesperia city,CA,US,101836,2024,1,incorporated place,0633434,34.397038,-117.315198,census_gazetteer
Clarington,Clarington,ON,CA,101427,2021,1,census subdivision,3518017,43.912,-78.688,approx_seat
Daly City,Daly City city,CA,US,101418,2024,1,incorporated place,0617918,37.701684,-122.464968,census_gazetteer
Georgetown,Georgetown city,TX,US,101344,2024,1,incorporated place,4829336,30.668136,-97.698744,census_gazetteer
New Bedford,New Bedford city,MA,US,101318,2024,1,incorporated place,2545000,41.661303,-70.937913,census_gazetteer
Albany,Albany city,NY,US,101317,2024,1,incorporated place,3601000,42.665745,-73.798353,census_gazetteer
Davenport,Davenport city,IA,US,100938,2024,1,incorporated place,1919000,41.55682,-90.603948,census_gazetteer
Red Deer,Red Deer,AB,CA,100844,2021,1,census subdivision,4808011,52.26682,-113.802,census_gazetteer
Plantation,Plantation city,FL,US,100694,2024,1,incorporated place,1257425,26.125573,-80.261818,census_gazetteer
Deltona,Deltona city,FL,US,100513,2024,1,incorporated place,1217200,28.905121,-81.210978,census_gazetteer
Federal Way,Federal Way city,WA,US,100252,2024,1,incorporated place,5323515,47.311596,-122.337757,census_gazetteer
San Angelo,San Angelo city,TX,US,100159,2024,1,incorporated place,4864472,31.441078,-100.450499,census_gazetteer
Tracy,Tracy city,CA,US,100136,2024,1,incorporated place,0680238,37.727396,-121.452195,census_gazetteer
Sunrise,Sunrise city,FL,US,100128,2024,1,incorporated place,1269700,26.171601,-80.261633,census_gazetteer
Fort Myers,Fort Myers city,FL,US,99918,2024,2,incorporated place,1224125,26.61982,-81.831673,census_gazetteer
Nanaimo,Nanaimo,BC,CA,99863,2021,2,census subdivision,5921007,49.16638,-123.94003,census_gazetteer
Longmont,Longmont city,CO,US,99818,2024,2,incorporated place,0845970,40.168199,-105.100522,census_gazetteer
Kenosha,Kenosha city,WI,US,99578,2024,2,incorporated place,5539225,42.587526,-87.879996,census_gazetteer
Vista,Vista city,CA,US,99322,2024,2,incorporated place,0682996,33.189528,-117.238582,census_gazetteer
